日付,カテゴリ,金額,メモ
2025-07-01,食費,750.0,セブンイレブン
2025-07-01,食費,2810.0,パルシステム
2025-07-03,光熱費,9650.0,東京電力 電気代
2025-07-04,食費,2360.0,パルシステム
2025-07-04,食費,1080.0,セブンイレブン
2025-07-04,交通費,2240.0,ETC 首都高
2025-07-05,食費,2880.0,業務スーパー
2025-07-06,通信費,5200.0,NURO光 ネット
2025-07-06,娯楽費,1900.0,映画館 TOHOシネマズ
2025-07-07,日用品,390.0,ダイソー
2025-07-07,AI,3000.0,Claude Pro
2025-07-07,その他,17960.0,ご祝儀・お香典
2025-07-08,食費,950.0,ローソン
2025-07-08,食費,4460.0,パルシステム
2025-07-08,食費,1370.0,サイゼリヤ
2025-07-08,教育費,6000.0,進研ゼミ
2025-07-09,AI,3000.0,ChatGPT Plus
2025-07-12,交通費,840.0,駐車場代
2025-07-12,住居費,95000.0,家賃
2025-07-13,光熱費,6710.0,東京ガス ガス代
2025-07-13,娯楽費,980.0,Spotify
2025-07-14,食費,780.0,マクドナルド
2025-07-15,交通費,560.0,駐車場代
2025-07-18,日用品,3370.0,無印良品
2025-07-18,娯楽費,1490.0,Netflix
2025-07-18,保険料,3500.0,アフラック 医療保険
2025-07-19,食費,2060.0,スシロー
2025-07-20,日用品,3160.0,無印良品
2025-07-21,食費,350.0,セブンイレブン
2025-07-21,通信費,5200.0,NURO光 ネット
2025-07-22,光熱費,12740.0,東京電力 電気代
2025-07-22,医療費,7750.0,山田歯科
2025-07-22,保険料,4200.0,損保ジャパン 自動車保険
2025-07-23,食費,3720.0,パルシステム
2025-07-24,食費,2800.0,西友
2025-07-26,食費,5110.0,イオンスタイル
2025-07-26,食費,910.0,ローソン
2025-07-26,交通費,4990.0,Suica チャージ
2025-07-26,自己投資,2320.0,資格テキスト
2025-07-27,教育費,6000.0,進研ゼミ
2025-07-30,交通費,1320.0,ETC 東名高速
2025-07-30,娯楽費,1900.0,AMAZON.CO.JP
2025-07-30,衣服,2410.0,しまむら
2025-08-01,交通費,2490.0,ETC 首都高
2025-08-03,食費,2780.0,スシロー
2025-08-03,通信費,5200.0,NURO光 ネット
2025-08-05,食費,1010.0,ローソン
2025-08-05,娯楽費,1900.0,映画館 TOHOシネマズ
2025-08-08,光熱費,11950.0,東京電力 電気代
2025-08-08,自己投資,1630.0,Udemy オンライン講座
2025-08-09,食費,450.0,ローソン
2025-08-09,食費,2380.0,Uber Eats
2025-08-09,食費,2050.0,パルシステム
2025-08-09,娯楽費,1740.0,書籍 Amazon Kindle
2025-08-10,日用品,1130.0,ドラッグストア マツキヨ
2025-08-11,交通費,3200.0,Suica チャージ
2025-08-11,AI,3000.0,ChatGPT Plus
2025-08-12,食費,2070.0,業務スーパー
2025-08-12,日用品,2710.0,ドラッグストア マツキヨ
2025-08-13,教育費,1700.0,参考書 紀伊國屋
2025-08-14,交通費,5860.0,ENEOS ガソリン
2025-08-14,娯楽費,1490.0,Netflix
2025-08-16,光熱費,9830.0,東京電力 電気代
2025-08-17,食費,990.0,サイゼリヤ
2025-08-17,交通費,6080.0,ENEOS ガソリン
2025-08-19,AI,3000.0,ChatGPT Plus
2025-08-19,その他,10240.0,ATM 現金出金
2025-08-20,食費,1880.0,サイゼリヤ
2025-08-22,食費,3220.0,スシロー
2025-08-22,食費,1400.0,セブンイレブン
2025-08-23,保険料,4200.0,損保ジャパン 自動車保険
2025-08-24,食費,4210.0,パルシステム
2025-08-24,保険料,3500.0,アフラック 医療保険
2025-08-25,食費,2450.0,イオンスタイル
2025-08-25,食費,4420.0,西友
2025-08-25,医療費,1020.0,薬局 スギ薬局
2025-08-27,住居費,95000.0,家賃
2025-08-29,食費,1090.0,サイゼリヤ
2025-08-29,食費,2320.0,Uber Eats
2025-08-29,通信費,2970.0,ahamo 携帯代
2025-08-29,教育費,1050.0,参考書 紀伊國屋
2025-08-30,交通費,4560.0,Suica チャージ
2025-08-30,光熱費,5520.0,東京ガス ガス代
2025-08-30,衣服,2550.0,しまむら
2025-08-31,日用品,960.0,ダイソー
2025-08-31,娯楽費,840.0,書籍 Amazon Kindle
2025-09-01,光熱費,5170.0,東京ガス ガス代
2025-09-02,交通費,330.0,駐車場代
2025-09-02,光熱費,14210.0,東京電力 電気代
2025-09-02,医療費,2720.0,薬局 スギ薬局
2025-09-02,娯楽費,980.0,Spotify
2025-09-02,娯楽費,4400.0,AMAZON.CO.JP
2025-09-02,娯楽費,660.0,書籍 Amazon Kindle
2025-09-03,食費,2940.0,イオンスタイル
2025-09-03,食費,3350.0,イオンスタイル
2025-09-03,食費,2970.0,パルシステム
2025-09-03,日用品,1180.0,ドラッグストア マツキヨ
2025-09-03,AI,3000.0,Claude Pro
2025-09-04,食費,1180.0,セブンイレブン
2025-09-05,通信費,2970.0,ahamo 携帯代
2025-09-06,交通費,1450.0,ETC 首都高
2025-09-07,食費,3700.0,業務スーパー
2025-09-07,日用品,4700.0,ホームセンター コーナン
2025-09-08,交通費,3820.0,Suica チャージ
2025-09-09,食費,1240.0,サイゼリヤ
2025-09-10,住居費,95000.0,家賃
2025-09-12,食費,2840.0,スシロー
2025-09-13,食費,1320.0,マクドナルド
2025-09-13,教育費,6000.0,進研ゼミ
2025-09-14,日用品,2970.0,ホームセンター コーナン
2025-09-14,通信費,5200.0,NURO光 ネット
2025-09-15,食費,4760.0,イオンスタイル
2025-09-15,交通費,5730.0,ENEOS ガソリン
2025-09-16,食費,3440.0,業務スーパー
2025-09-17,娯楽費,820.0,書籍 Amazon Kindle
2025-09-18,食費,940.0,ローソン
2025-09-19,自己投資,2770.0,Udemy オンライン講座
2025-09-20,保険料,3500.0,アフラック 医療保険
2025-09-21,食費,420.0,セブンイレブン
2025-09-22,保険料,3500.0,アフラック 医療保険
2025-09-22,AI,3000.0,Claude Pro
2025-09-26,食費,2390.0,スシロー
2025-09-26,交通費,500.0,駐車場代
2025-09-28,食費,810.0,セブンイレブン
2025-09-28,衣服,2560.0,ユニクロ
2025-09-29,教育費,6000.0,進研ゼミ
2025-09-30,食費,2680.0,Uber Eats
2025-09-30,光熱費,5340.0,東京ガス ガス代
2025-09-30,その他,11690.0,ご祝儀・お香典
